country,completion_male,completion_female,income_per_person,employment,life_expectancy
Holy See,,,,52.5,63.6
Honduras,86.41905,91.7316,4146.652688,64.19999695,69.1
"Hong Kong, China",101.1414,99.53676,43447.34745,84.09999847,75.4
Hungary,99.28682,98.78071,23261.98606,71.69999695,63.3
Iceland,97.52724,101.67327,42775.46835,60.59999847,79.2
India,89.25894,83.84568,3556.600323,55.79999924,
Indonesia,95.73894,95.94191,6787.521361,45.59999847,80.2
Iran,100.14115,98.10947,13595.7836,46.5,81.2
Iraq,,,11739.31788,43.09999847,75.2
Ireland,,,49706.93544,47.40000153,82.3
Isle of Man,,,,53.5,
Israel,102.19921,103.32075,26574.37595,59.29999924,75.1
Italy,99.32794,98.39106,38216.45478,52,65.1
Jamaica,,,8883.481672,46.90000153,59.6
Japan,,,34494.2984,77.09999847,60.8
Jersey,,,,74.59999847,70.2
Jordan,101.46418,103.82431,9819.046848,41.79999924,79.2
Kazakhstan,103.07784,104.26074,17028.06051,61.79999924,
Kenya,,,2389.226294,60.40000153,78
Kiribati,117.17172,108.84956,1683.481873,51.79999924,66.5
North Korea,,,1461,65.40000153,62.6
South Korea,101.42852,98.45523,28285.33691,58.20000076,70.9
United Korea (former),,,,60.40000153,76.8
Kosovo,,,6618.339762,51,44
Kuwait,102.79057,106.46714,101767.2331,64.19999695,59.9
Kyrgyz Republic,101.98938,101.96508,2429.281847,50.59999847,75.2
Lao,80.35746,70.03645,3047.684542,50.59999847,
Latvia,93.00693,91.05901,19942.73643,58,71.1
Lebanon,82.9449,87.07596,11921.11724,70.19999695,80.1
Lesotho,62.49486,89.04591,1909.841064,72.5,78.886
Liberia,,,618.6578988,67.80000305,75.1
Libya,,,27251.70028,59.40000153,62.7
Liechtenstein,95.16908,109.13978,,46.59999847,49.3
Lithuania,92.97615,93.3611,19271.27117,57.70000076,74.6
Luxembourg,,,93422.65502,42,77.3
"Macao, China",100.37605,102.64068,71594.57567,75.5,54.8
"Macedonia, FYR",94.28383,92.47784,9790.221171,45.09999847,81.1
Madagascar,58.29241,58.03015,1402.1254,41.29999924,63.5
Malawi,58.20969,58.32552,603.6825738,51.09999847,79.784
Malaysia,,,18427.88445,56.79999924,63
Maldives,133.17733,130.28603,8865.821744,80,72.1
Mali,53.49708,37.41011,1555.018406,50.59999847,77.529
Malta,,,26289.60028,65.40000153,75.8
Marshall Islands,113.12741,116.09658,3338.983044,47,65.8
Martinique,,,,63.79999924,69.4
Mauritania,45.37206,44.24076,2721.740973,62.40000153,
Mauritius,90.66097,93.76315,13034.0905,51.29999924,62.5
Mayotte,,,,56.29999924,74
Mexico,100.07284,101.34438,15955.23227,65.30000305,
"Micronesia, Fed. Sts.",,,3311.964567,65.80000305,72.8
Moldova,98.39621,97.64873,3472.169546,39.5,54.1
Monaco,,,54635.9127,52.70000076,64.1
Mongolia,109.77474,109.53153,5840.350769,54.29999924,53.2
Montenegro,,,11837.28862,47,
Montserrat,,,,45,67.8
Morocco,87.47829,80.26943,5725.244827,51,79.9
Mozambique,48.45195,34.20186,770.2262119,60.29999924,75.759
Myanmar,,,2592.558614,64.69999695,74.838
Namibia,77.91099,86.50668,,44.79999924,80
Nauru,,,7770.140341,54.29999924,74.8
Nepal,,,4897.148728,51.20000076,58.3
Netherlands,,,1792.43282,78.09999847,57.2
Netherlands Antilles,,,43918.98903,72.09999847,
New Caledonia,,,,34.59999847,
New Zealand,,,,64,
Ngorno-Karabakh,,,31991.84601,62.59999847,
Nicaragua,72.12001,78.43628,3824.173678,41.40000153,80.4
Niger,38.48075,25.87356,792.0124685,43.5,74.3
Nigeria,101.28439,80.51109,4220.44861,58.20000076,63.6
Niue,,,,83.09999847,
Norfolk Island,,,,53.79999924,77.2
Northern Cyprus,,,,75,57.5
Northern Mariana Islands,,,,59.40000153,73.5
Norway,96.74694,98.60849,64039.19474,62.59999847,76.5
Oman,,,40901.74143,56.70000076,69.1
Pakistan,69.14668,51.43498,4018.889816,56.5,
Palau,,,13426.57535,59.70000076,75
Panama,93.66881,93.79092,11635.9069,71.19999695,78.7
Papua New Guinea,,,1751.113026,31.60000038,77.6
Paraguay,93.51928,94.69324,6243.857417,39.09999847,79.3
Peru,101.99261,101.44217,8071.387818,60.79999924,77.807
Philippines,88.42144,95.76413,4932.641274,66.90000153,73
Pitcairn,,,,,66.1
Poland,,,18059.32394,,59.3
Portugal,,,26666.70389,,
Puerto Rico,,,36028.8065,,
Qatar,89.97718,87.12397,126817.5337,,
Reunion,,,,,73.6
Romania,100.24916,100.29841,15982.54876,,
Russia,,,19553.66676,,70.9
Rwanda,,,995.2402429,,
St. Barthélemy,,,,,71.1
St. Helena,,,,,
St. Kitts and Nevis,,,22176.16464,,66.5
St. Lucia,107.87949,104.89965,9943.018926,,77.4
St. Martin,,,,,63.4
St. Vincent and the Grenadines,,,10129.13671,,76
St.-Pierre-et-Miquelon,,,,,
Samoa,,,5584.846039,,72.2
San Marino,,,55241.17608,,54.9
Sao Tome and Principe,,,2365.321882,,80.4
Saudi Arabia,,,39462.33268,,74.4
Senegal,52.71254,48.69941,2078.48159,,77.6
Serbia,,,11845.75337,,62.2
Serbia and Montenegro,,,,,56.3
Serbia excluding Kosovo,,,,,53.3
Seychelles,,,19700.11354,,55.5
Sierra Leone,,,1213.827228,,80.7
Singapore,,,65012.16349,,74.4
Slovak Republic,91.53316,90.02255,21538.24319,,66.6
Slovenia,,,28313.44079,,68.7
Solomon Islands,,,1713.932615,,
Somalia,,,614.5824445,,44
Somaliland,,,,,80.7
South Africa,,,10774.75921,,81.5
South Ossetia,,,,,76.1
Spain,97.94532,97.5326,2657.408223,,77.7
Sri Lanka,103.21631,103.95047,33927.47104,,69
Sudan,,,6151.401923,,57.9
Suriname,83.55954,99.9548,2686.82711,,73.3
Svalbard,,,12975.73014,,67.6
Swaziland,64.31763,68.22978,,,59.4
Sweden,95.98507,95.93724,5550.77088,,69
Switzerland,92.42555,95.08792,42449.49496,,69.7
Syria,107.021,105.74349,52912.89588,,71.2
Taiwan,,,5888.475616,,76.2
Tajikistan,108.50036,103.99385,37661.04542,,74.3
Tanzania,73.84133,71.47928,1767.190369,,65.1
Thailand,,,1328.50989,,
Timor-Leste,,,11505.17028,,
Togo,87.66729,63.31738,1270.315413,,55.9
Tokelau,,,1208.70533,,67.3
Tonga,101.72009,106.49789,,,75.6
Transnistria,,,5100.367232,,79.3
Trinidad and Tobago,,,,,77.8
Tunisia,,,28990.48769,,75.5
Turkey,99.3479,93.4201,9109.349433,,68.3
Turkmenistan,,,16093.18942,,
Turks and Caicos Islands,,,7265.800652,,63.3
Tuvalu,89.34426,109.2437,20689.99075,,74.8
Uganda,,,3047.527959,,73.3
Ukraine,105.24323,104.55208,1112.167287,,65.409
United Arab Emirates,98.03661,101.36929,7879.795919,,75
United Kingdom,,,96399.73745,,78.688
United States,97.3215,99.09253,37670.67199,,65.4
Uruguay,98.52292,100.97113,50655.96145,,48.8
USSR,,,13322.34124,,47.8
Uzbekistan,100.15548,98.4251,,,80.1
Wallis et Futuna,,,3165.051521,,
Vanuatu,,,,,
Venezuela,93.03273,98.77942,2738.724529,,
West Bank and Gaza,,,16154.42799,,
West Germany,,,4192.888252,,
Western Sahara,,,,,
Vietnam,,,,,
Virgin Islands (U.S.),,,3645.971658,,
North Yemen (former),,,,,
South Yemen (former),,,,,
Yemen,,,,,
Yugoslavia,,,4319.576782,,
Zambia,94.04398,83.31598,,,
Zimbabwe,,,2988.231234,,
Åland,,,1675.443763,,
South Sudan,,,,,
Christian,,,,,
Coastline,,,,,
Curaçao,,,,,
Sint Maarten (Dutch part),,,,,
St. Martin (French part),,,,,
Antarctica,,,,,
"Virgin Islands, British",,,,,
Hawaiian Trade Zone,,,,,
U.S. Pacific Islands,,,,,
Wake Island,,,,,
Bonaire,,,,,
Sark,,,,,
Chinese Taipei,,,,,
Saint Eustatius,,,,,
Saba,,,,,
